Cl_pop,1,0.114,-0.008,0.0368,-0.0152,0.0234,0.00152,-0.00498,0.0213,0.00657,-0.0381,-0.00994,0.0206
beta_Cl_logtCLCRMLMIN,0.114,1,0.00747,-0.00605,0.0158,-0.0456,0.003,0.00495,0.0242,-0.00221,0.0282,0.0144,-0.00605
V1_pop,-0.008,0.00747,1,-0.239,0.655,-0.105,0.00337,-0.0258,-0.0617,-0.141,0.0877,-0.0061,0.0199
Q_pop,0.0368,-0.00605,-0.239,1,-0.121,0.12,0.00533,-0.0525,0.0823,0.273,-0.201,-0.0147,0.0092
V2_pop,-0.0152,0.0158,0.655,-0.121,1,-0.188,0.00636,0.0591,0.0185,0.0162,0.155,0.0168,-0.0126
bias_pop,0.0234,-0.0456,-0.105,0.12,-0.188,1,-0.0133,-0.146,-0.0524,0.0956,-0.658,-0.0746,0.107
omega_Cl,0.00152,0.003,0.00337,0.00533,0.00636,-0.0133,1,-0.00989,-0.0077,0.0139,-0.00537,0.0242,-0.0427
omega_V1,-0.00498,0.00495,-0.0258,-0.0525,0.0591,-0.146,-0.00989,1,0.29,-0.141,0.447,0.0119,-0.0086
corr_V2_V1,0.0213,0.0242,-0.0617,0.0823,0.0185,-0.0524,-0.0077,0.29,1,-0.000789,0.00285,-0.0512,0.397
omega_Q,0.00657,-0.00221,-0.141,0.273,0.0162,0.0956,0.0139,-0.141,-0.000789,1,-0.255,0.00951,-0.0319
omega_V2,-0.0381,0.0282,0.0877,-0.201,0.155,-0.658,-0.00537,0.447,0.00285,-0.255,1,0.0523,-0.138
a1,-0.00994,0.0144,-0.0061,-0.0147,0.0168,-0.0746,0.0242,0.0119,-0.0512,0.00951,0.0523,1,-0.129
a2,0.0206,-0.00605,0.0199,0.0092,-0.0126,0.107,-0.0427,-0.0086,0.397,-0.0319,-0.138,-0.129,1
