Cl_pop,1,-0.0127,0.0638,-0.037,-0.218,-0.0815,-0.0116,0.0282,0.0477,nan,-0.105,0.0953,-0.0263,0.00295
V1_pop,-0.0127,1,-0.233,0.207,-0.0327,0.237,-0.00792,-0.0308,-0.104,nan,-0.101,-0.0994,-0.118,0.199
Q2_pop,0.0638,-0.233,1,-0.0588,-0.0889,-0.0475,0.00957,-0.0223,0.00471,nan,-0.0206,0.084,0.00176,-0.0198
V2_pop,-0.037,0.207,-0.0588,1,-0.37,-0.137,0.0787,-0.283,-0.159,nan,-0.132,-0.0369,-0.0395,0.212
Q3_pop,-0.218,-0.0327,-0.0889,-0.37,1,0.296,-0.0623,0.264,-0.06,nan,0.0446,-0.155,0.0703,-0.167
V3_pop,-0.0815,0.237,-0.0475,-0.137,0.296,1,-0.102,-0.0664,-0.0121,nan,-0.208,-0.287,-0.0892,0.153
omega_Cl,-0.0116,-0.00792,0.00957,0.0787,-0.0623,-0.102,1,0.0366,0.0161,nan,-0.0231,0.0777,0.0521,-0.0896
omega_V1,0.0282,-0.0308,-0.0223,-0.283,0.264,-0.0664,0.0366,1,0.0807,nan,-0.333,0.366,0.0914,-0.46
omega_Q2,0.0477,-0.104,0.00471,-0.159,-0.06,-0.0121,0.0161,0.0807,1,nan,0.027,0.0664,0.00754,-0.124
omega_V2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_Q3,-0.105,-0.101,-0.0206,-0.132,0.0446,-0.208,-0.0231,-0.333,0.027,nan,1,-0.246,0.00552,0.106
omega_V3,0.0953,-0.0994,0.084,-0.0369,-0.155,-0.287,0.0777,0.366,0.0664,nan,-0.246,1,0.0653,-0.343
a1,-0.0263,-0.118,0.00176,-0.0395,0.0703,-0.0892,0.0521,0.0914,0.00754,nan,0.00552,0.0653,1,-0.223
a2,0.00295,0.199,-0.0198,0.212,-0.167,0.153,-0.0896,-0.46,-0.124,nan,0.106,-0.343,-0.223,1
