Cl_pop,0.00319,0.00159,-4.48e-5,0.000396,-1.32e-5,2.91e-5,-2.84e-5,-4.78e-6,-2.09e-5,-2.42e-6,-7.59e-6,2.68e-6
beta_Cl_logtCLCRMLMIN,0.00159,0.0591,1.13e-6,5.64e-5,9.62e-5,6.08e-5,-0.000185,-8.34e-6,0.000122,-0.000161,6.59e-5,-2.26e-5
V1_pop,-4.48e-5,1.13e-6,0.00782,-0.00501,0.00643,-4.31e-6,-0.000185,-1.71e-5,-0.00179,-0.000719,-7.24e-5,8.6e-5
Q_pop,0.000396,5.64e-5,-0.00501,0.0464,-0.00337,6.45e-5,0.000467,2.9e-5,0.00715,0.00128,4.64e-5,-0.000143
V2_pop,-1.32e-5,9.62e-5,0.00643,-0.00337,0.00582,1.99e-5,-0.000253,-1.29e-5,-0.00125,-0.000442,-2.84e-5,3.74e-5
omega_Cl,2.91e-5,6.08e-5,-4.31e-6,6.45e-5,1.99e-5,0.00165,-3.48e-5,-5.09e-6,4.96e-6,-2.4e-5,2e-5,-1.21e-5
omega_V1,-2.84e-5,-0.000185,-0.000185,0.000467,-0.000253,-3.48e-5,0.005,8.97e-5,-0.000228,0.00458,1.15e-5,-4.97e-5
corr_V2_V1,-4.78e-6,-8.34e-6,-1.71e-5,2.9e-5,-1.29e-5,-5.09e-6,8.97e-5,8.91e-6,3.28e-5,8.34e-5,-1.6e-6,-1.14e-6
omega_Q,-2.09e-5,0.000122,-0.00179,0.00715,-0.00125,4.96e-6,-0.000228,3.28e-5,0.0205,-1.65e-5,4.96e-5,-0.000109
omega_V2,-2.42e-6,-0.000161,-0.000719,0.00128,-0.000442,-2.4e-5,0.00458,8.34e-5,-1.65e-5,0.00449,3.29e-5,-7.16e-5
a1,-7.59e-6,6.59e-5,-7.24e-5,4.64e-5,-2.84e-5,2e-5,1.15e-5,-1.6e-6,4.96e-5,3.29e-5,0.000519,-1.62e-5
a2,2.68e-6,-2.26e-5,8.6e-5,-0.000143,3.74e-5,-1.21e-5,-4.97e-5,-1.14e-6,-0.000109,-7.16e-5,-1.62e-5,4.7e-5
