Cl_pop,1,-0.0788,0.502,0.0435,-0.0501,-0.00668,0.011,0.00726,0.00885,0.0119
beta_Cl_logtCLCR,-0.0788,1,0.0201,0.00727,-0.0212,-0.0192,-0.0304,-0.0997,0.0202,0.0529
V1_pop,0.502,0.0201,1,-0.216,0.173,0.0253,-0.143,0.0469,-0.21,-0.0354
Q_pop,0.0435,0.00727,-0.216,1,-0.202,-0.0229,0.102,-0.0738,0.217,0.0466
V2_pop,-0.0501,-0.0212,0.173,-0.202,1,0.0633,0.00465,-0.0123,-0.0283,-0.135
omega_Cl,-0.00668,-0.0192,0.0253,-0.0229,0.0633,1,0.333,0.299,-0.00514,-0.024
corr_V1_Cl,0.011,-0.0304,-0.143,0.102,0.00465,0.333,1,0.326,0.134,-0.00141
omega_V1,0.00726,-0.0997,0.0469,-0.0738,-0.0123,0.299,0.326,1,-0.124,-0.063
omega_Q,0.00885,0.0202,-0.21,0.217,-0.0283,-0.00514,0.134,-0.124,1,-0.00196
b,0.0119,0.0529,-0.0354,0.0466,-0.135,-0.024,-0.00141,-0.063,-0.00196,1
