Cl_pop,1,0.108,-0.059,0.0836,-0.0213,-0.0138,-0.0495,-0.0842,0.0512,-0.065,-0.0267,0.0351
beta_Cl_logtCLCRMLMIN,0.108,1,0.0528,-0.0541,0.00891,0.00442,0.0451,0.0837,-0.0483,0.0607,0.0283,-0.0355
V1_pop,-0.059,0.0528,1,-0.529,0.838,0.0251,0.416,0.611,-0.452,0.502,0.127,-0.161
Q_pop,0.0836,-0.0541,-0.529,1,-0.236,-0.0247,-0.355,-0.631,0.424,-0.461,-0.147,0.169
V2_pop,-0.0213,0.00891,0.838,-0.236,1,0.00439,0.16,0.121,-0.178,0.181,0.0203,-0.0228
omega_Cl,-0.0138,0.00442,0.0251,-0.0247,0.00439,1,0.0088,0.0296,-0.0189,0.0157,0.0219,-0.0353
omega_V1,-0.0495,0.0451,0.416,-0.355,0.16,0.0088,1,0.62,-0.446,0.957,0.13,-0.239
corr_V2_V1,-0.0842,0.0837,0.611,-0.631,0.121,0.0296,0.62,1,-0.595,0.756,0.214,-0.308
omega_Q,0.0512,-0.0483,-0.452,0.424,-0.178,-0.0189,-0.446,-0.595,1,-0.516,-0.117,0.116
omega_V2,-0.065,0.0607,0.502,-0.461,0.181,0.0157,0.957,0.756,-0.516,1,0.174,-0.287
a1,-0.0267,0.0283,0.127,-0.147,0.0203,0.0219,0.13,0.214,-0.117,0.174,1,-0.152
a2,0.0351,-0.0355,-0.161,0.169,-0.0228,-0.0353,-0.239,-0.308,0.116,-0.287,-0.152,1
