iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q2,sd_Q2,E_V2,sd_V2,E_Q3,sd_Q3,E_V3,sd_V3
1,10.6001,0.0587356,46.9546,0.0817998,13.8616,0.479062,65.9524,0.441257,0.0115582,7.25706,5.71835e+06,6.57596
2,10.6073,0.0500747,46.869,0.0739995,13.6872,0.435752,66.6938,0.405297,0.0136753,6.04769,4.10025e+06,5.80552
3,10.5776,0.0474822,46.9572,0.0734304,13.7085,0.431776,67.7439,0.385027,0.0679261,6.123,3.23882e+06,5.62511
4,10.5612,0.0440108,46.9759,0.0718064,13.5863,0.425312,68.5675,0.376742,0.0739647,6.26144,2.65554e+06,5.55951
5,10.5627,0.0443726,47.0059,0.0712236,13.8233,0.410122,70.2319,0.38587,0.066448,6.13358,3.25917e+06,5.65308
6,10.5406,0.0447262,47.016,0.0701808,13.7401,0.408816,69.9913,0.380434,0.0688888,6.08386,3.10074e+06,5.80686
7,10.5331,0.0444443,46.9262,0.0697899,13.6051,0.398632,69.5132,0.373601,0.120711,6.18999,2.87287e+06,5.83801
8,10.5313,0.0443014,46.8376,0.0692573,13.6855,0.410154,68.8337,0.367321,0.156017,6.17503,2.58882e+06,5.77168
9,10.5272,0.0446447,46.8096,0.0684543,13.6238,0.407169,68.8404,0.362228,0.144083,6.13742,2.33444e+06,5.71268
10,10.5247,0.0449753,46.8149,0.0675122,13.6581,0.401,69.0211,0.367221,0.158833,6.17863,2.27848e+06,5.78989
11,10.5081,0.047347,46.845,0.066881,13.4587,0.395564,69.6212,0.367672,0.158649,6.23389,2.10786e+06,5.78747
12,10.5058,0.048456,46.8043,0.0674605,13.47,0.39628,69.7941,0.366433,0.15319,6.18789,1.95011e+06,5.8284
13,10.5027,0.0491362,46.7876,0.068037,13.4674,0.392282,69.9292,0.3636,0.147748,6.14458,1.83795e+06,5.78644
14,10.5042,0.0490301,46.8061,0.0679006,13.5035,0.389951,70.0835,0.362514,0.148952,6.14031,1.71695e+06,5.77635
15,10.5029,0.0489975,46.7582,0.0677037,13.4897,0.387942,70.2294,0.361737,0.15143,6.13564,1.90045e+06,5.7774
16,10.5076,0.0486144,46.7674,0.0673095,13.4384,0.385309,70.3275,0.36045,0.143116,6.13267,5.14008e+06,5.8043
17,10.501,0.0486621,46.7854,0.06686,13.3706,0.384175,70.3863,0.358579,0.140073,6.11931,4.88568e+06,5.82601
18,10.5045,0.0481157,46.798,0.0666396,13.3122,0.384386,69.9849,0.354951,0.134576,6.08126,4.64607e+06,5.82629
19,10.5054,0.0479116,46.8208,0.0667607,13.2419,0.38491,69.7649,0.356109,0.129787,6.05955,4.80029e+06,5.83135
20,10.5133,0.0475925,46.8471,0.0664842,13.1785,0.3827,69.4559,0.355666,0.124459,6.02457,5.75987e+06,5.88337
21,10.5148,0.0475866,46.8662,0.0662247,13.1485,0.385323,69.437,0.357796,0.119023,6.01204,7.88184e+06,5.87724
22,10.5167,0.0476436,46.9057,0.0656868,13.0999,0.383418,69.4731,0.359856,0.11398,5.9797,7.5532e+06,5.8364
23,10.518,0.0477141,46.9278,0.0657369,13.0845,0.384369,69.6045,0.359939,0.109348,5.97179,7.24797e+06,5.8363
24,10.5184,0.0476405,46.9516,0.0656142,13.0848,0.382131,69.5658,0.359615,0.106368,5.98122,6.97811e+06,5.87798
25,10.5186,0.0477479,46.9719,0.0661065,13.1077,0.380845,69.6185,0.361481,0.102972,5.9503,6.72478e+06,5.88306
26,10.5195,0.0476208,46.9803,0.0663017,13.0789,0.379114,69.5222,0.362068,0.0995297,5.93911,6.49244e+06,5.86519
27,10.5186,0.0474166,46.9839,0.0662026,13.0445,0.379071,69.4954,0.362302,0.096284,5.9292,6.55878e+06,5.85884
28,10.5166,0.0473438,46.9927,0.0662574,13.0797,0.378387,69.6085,0.360961,0.094626,5.91981,6.36956e+06,5.88047
29,10.5177,0.0473457,47.0123,0.0660847,13.0805,0.377569,69.6698,0.36091,0.0922016,5.92923,6.19539e+06,5.90038
30,10.5219,0.04725,46.9985,0.0659045,13.0753,0.376959,69.5832,0.361416,0.0893122,5.91746,6.05322e+06,5.89453
31,10.5237,0.0470546,46.9752,0.0657352,13.1036,0.376615,69.6277,0.361153,0.0869429,5.90799,5.8867e+06,5.92586
32,10.5256,0.0469434,46.9805,0.0657507,13.1221,0.376124,69.5876,0.360292,0.0845267,5.88195,8.77059e+07,5.96584
33,10.5218,0.0467338,46.98,0.0657091,13.0749,0.374862,69.6085,0.359911,0.0841553,5.85348,8.51267e+07,5.93665
