,DD,II,Tinf,CrCl,Enterococcus faecalis,Enterococcus faecium,Staphylococcus aureus,Staphylococcus coagulase negative,Staphylococcus epidermidis,Staphylococcus haemolyticus
0,1500.0,12.0,2.0,80.0,0.26883054914792137,0.5654910068423499,0.5641254936715339,0.3011089609173293,0.22357983505710632,0.3524231840304399
1,1500.0,12.0,2.0,100.0,0.1717249704861544,0.4419749989656903,0.3975006787231202,0.20016834082124194,0.14335860270172934,0.24329149740417727
2,1500.0,12.0,2.0,120.0,0.09672162945420774,0.34333973494154635,0.26718767308924546,0.12195894422962987,0.08143713541617485,0.15828678333079801
3,1500.0,12.0,2.0,140.0,0.05840576238866559,0.2892010179853093,0.19887525864401265,0.08170656670951486,0.04978500084663404,0.11403448439979008
4,2000.0,12.0,2.0,80.0,0.4483642564555348,0.7806158194158039,0.853671758681157,0.4881655171123314,0.3780998719977947,0.5513250763008536
5,2000.0,12.0,2.0,100.0,0.3867298311684851,0.7121165821002831,0.7620232154413115,0.4237418354059359,0.32241011630280103,0.4841995615035054
6,2000.0,12.0,2.0,120.0,0.304603888866487,0.6104536128052759,0.6249044455427698,0.33829465193473485,0.25330979782348634,0.39250927229143767
7,2000.0,12.0,2.0,140.0,0.2185608125238557,0.5015259305595325,0.4778488516757458,0.24885293354454233,0.18205441353196689,0.295922680964567
8,2500.0,12.0,2.0,80.0,0.552138086760164,0.8355222193125228,0.920502654774029,0.5989623669831623,0.5016718082441053,0.6512725123394474
9,2500.0,12.0,2.0,100.0,0.4883997129132404,0.8113445216225922,0.8932778569057309,0.5305426722154877,0.42106302227283815,0.5919495272684475
10,2500.0,12.0,2.0,120.0,0.44158633614039555,0.774300165382534,0.8453555752384099,0.48103395174983304,0.3713751142085277,0.5442066064646965
11,2500.0,12.0,2.0,140.0,0.3910675052351675,0.7180391383393685,0.7700641833927608,0.4282338465513259,0.32578794916043663,0.4891620277837723
12,3000.0,12.0,2.0,80.0,0.7081319330236304,0.8729200890437749,0.9555938485605351,0.7672176264439053,0.7096574902120607,0.7917280599639878
13,3000.0,12.0,2.0,100.0,0.6068435728249126,0.8491552631635639,0.9335609299777113,0.6579559097593912,0.5743643077083868,0.7006459032972363
14,3000.0,12.0,2.0,120.0,0.5207583823311166,0.8223835997755022,0.9053097442199811,0.5653254831162579,0.4625961981583457,0.6217992378728436
15,3000.0,12.0,2.0,140.0,0.47512419562613595,0.8008217647218079,0.8796608823038694,0.5165037112327578,0.4069818513010789,0.5784066406468596
