Cl_pop,1,-0.00353,0.0257,-0.0244,-0.00567,0.0061,-0.00296,0.012,0.00523,-0.00929,0.00541,-0.00058
V1_pop,-0.00353,1,-0.264,0.114,-0.00142,0.0132,-0.208,-0.0696,0.0343,-0.0422,-0.154,0.163
Q_pop,0.0257,-0.264,1,-0.157,0.0085,-0.0245,0.195,0.131,-0.0356,0.0361,0.164,-0.165
V2_pop,-0.0244,0.114,-0.157,1,0.042,-0.113,0.102,-0.352,0.00546,0.00423,-0.0954,0.0485
omega_Cl,-0.00567,-0.00142,0.0085,0.042,1,-0.0103,0.0182,-0.0113,-0.0292,0.0406,0.0431,-0.056
omega_V1,0.0061,0.0132,-0.0245,-0.113,-0.0103,1,-0.115,0.117,-0.0219,0.0233,0.0791,-0.088
omega_Q,-0.00296,-0.208,0.195,0.102,0.0182,-0.115,1,-0.109,-0.0201,0.0264,0.116,-0.126
omega_V2,0.012,-0.0696,0.131,-0.352,-0.0113,0.117,-0.109,1,6.63e-5,-0.00129,-0.142,0.121
a1,0.00523,0.0343,-0.0356,0.00546,-0.0292,-0.0219,-0.0201,6.63e-5,1,-0.941,-0.13,0.138
b1,-0.00929,-0.0422,0.0361,0.00423,0.0406,0.0233,0.0264,-0.00129,-0.941,1,0.138,-0.156
a2,0.00541,-0.154,0.164,-0.0954,0.0431,0.0791,0.116,-0.142,-0.13,0.138,1,-0.972
b2,-0.00058,0.163,-0.165,0.0485,-0.056,-0.088,-0.126,0.121,0.138,-0.156,-0.972,1
