iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V1_Cl,corr_V2_Cl,corr_V2_V1,a1,a2
54,1451.07,1,8.74702,53.3226,3.86843,181.54,0.385271,0.587048,1.75189,1.13697,0,0,0,0.770543,0.770543
55,1424.25,1,8.89436,53.3808,6.19163,213.518,0.375516,0.572184,1.70753,1.12444,0,0,0,0.751032,0.751032
56,1415.23,1,8.55608,56.754,5.50124,224.178,0.366008,0.557696,1.66429,1.09597,0,0,0,0.732016,0.732016
57,1403.38,1,9.28378,62.036,6.40201,293.856,0.35674,0.543575,1.62215,1.06822,0,0,0,0.713481,0.713481
58,1391.5,1,8.30329,60.2141,4.78795,348.522,0.347707,0.529811,1.58108,1.15083,0,0,0,0.695415,0.695415
59,1384.84,1,8.10298,59.6713,5.84103,392.204,0.338903,0.516396,1.54104,1.12169,0,0,0,0.677807,0.677807
60,1365.93,1,8.38344,57.1419,5.01767,358.404,0.330322,0.503321,1.50202,1.09329,0,0,0,0.660644,0.660644
61,1353.81,1,8.65642,60.1017,5.79535,348.136,0.321958,0.490576,1.46399,1.0656,0,0,0,0.643916,0.643916
62,1349.5,1,8.63983,59.8265,5.9374,317.424,0.313806,0.478155,1.42692,1.03862,0,0,0,0.627612,0.627612
63,1328.51,1,8.52363,56.6862,5.68965,296.943,0.30586,0.466047,1.39079,1.01232,0,0,0,0.61172,0.61172
64,1326.51,1,8.46942,55.1342,5.71088,266.394,0.298116,0.454247,1.35558,1.11267,0,0,0,0.596231,0.596231
65,1306.91,1,8.35785,58.617,6.19282,349.358,0.290567,0.442745,1.32125,1.0845,0,0,0,0.581134,0.581134
66,1297.04,1,8.32574,53.8022,7.03854,298.894,0.28321,0.431534,1.2878,1.0899,0,0,0,0.56642,0.56642
67,1289.13,1,8.26328,52.5851,6.77152,280.767,0.283671,0.420608,1.25519,1.0623,0,0,0,0.552078,0.552078
68,1270.41,1,8.88183,54.7458,6.71716,266.41,0.276489,0.409958,1.22341,1.03541,0,0,0,0.538099,0.538099
69,1272.34,1,8.49489,54.6435,6.23578,257.339,0.269488,0.399577,1.24032,1.00919,0,0,0,0.524474,0.524474
70,1259.58,1,8.64768,60.6055,6.39869,315.765,0.262664,0.38946,1.20891,1.00238,0,0,0,0.511194,0.511194
71,1251.97,1,8.64671,61.5994,6.39928,353.544,0.256014,0.379599,1.1783,0.990828,0,0,0,0.49825,0.49825
72,1244.98,1,8.64899,60.7411,4.15514,304.852,0.249531,0.369987,1.14847,1.08192,0,0,0,0.485634,0.485634
73,1232.48,1,8.24486,58.17,5.60596,302.859,0.243213,0.360619,1.11939,1.05452,0,0,0,0.473338,0.473338
74,1227.24,1,8.4335,57.2384,6.15579,301.113,0.24419,0.351488,1.09105,1.02782,0,0,0,0.461352,0.461352
75,1220.64,1,8.96542,56.1285,6.08696,304.742,0.238007,0.342588,1.08461,1.05036,0,0,0,0.449671,0.449671
76,1202.34,1,8.94808,56.5663,5.53836,236.008,0.231981,0.333913,1.05715,1.03518,0,0,0,0.438285,0.438285
77,1199.71,1,9.30163,59.2454,4.88817,224.412,0.228086,0.325458,1.07369,1.02767,0,0,0,0.427187,0.427187
78,1173.99,1,9.38569,63.4207,4.40951,253.515,0.222311,0.317217,1.04651,1.00165,0.169529,0.0366833,-0.109482,0.416371,0.416371
79,1166.54,1,9.2183,59.6629,5.22301,238.586,0.226447,0.309185,1.02001,0.976287,0.116888,-0.19107,-0.0993999,0.405828,0.405828
80,1161.89,1,9.25696,56.8603,5.23922,224.092,0.220714,0.301357,0.99418,0.997055,-0.0610294,-0.224261,0.0549063,0.395552,0.395552
81,1155.99,1,9.30491,53.3624,6.60678,212.744,0.215125,0.293726,0.969007,0.971809,0.0256351,-0.195182,-0.213894,0.385536,0.385536
82,1147.35,1,9.32228,53.9846,5.47843,162.759,0.209678,0.286289,0.96634,1.02219,0.0052443,-0.44968,-0.356404,0.375774,0.375774
83,1144.99,1,9.44853,55.5084,5.71256,167.114,0.228635,0.27904,0.941872,1.09794,-0.187049,-0.375814,-0.310052,0.36626,0.36626
84,1124.19,1,9.53058,56.233,7.18021,143.109,0.222845,0.271974,0.918023,1.07014,-0.334399,-0.299558,-0.225442,0.356986,0.356986
85,1107.61,1,9.72203,58.2298,7.27927,138.313,0.217203,0.265088,0.894778,1.04304,-0.230575,-0.250938,-0.398202,0.347947,0.347947
86,1101.3,1,9.75005,56.3251,5.58256,116.531,0.211703,0.258376,0.872122,1.01663,-0.289175,-0.268465,-0.44161,0.339136,0.339136
87,1101.97,1,9.71681,57.182,6.41455,109.172,0.206343,0.251833,0.850039,0.993294,-0.355552,0.000608303,-0.434399,0.330549,0.330549
88,1081.87,1,10.0251,54.742,7.55644,114.4,0.201118,0.245457,0.828516,0.968143,-0.278525,-0.197257,-0.357926,0.32218,0.32218
89,1091.92,1,10.0095,55.2305,8.20444,103.626,0.196026,0.254931,0.807537,0.985712,-0.17479,-0.0497124,-0.331481,0.314022,0.314022
90,1063.07,1,10.0111,54.1414,7.48913,100.638,0.191062,0.248476,0.78709,1.0137,-0.188218,0.127787,-0.456498,0.306071,0.306071
91,1056.5,1,9.9838,52.4011,7.9212,113.694,0.186481,0.242184,0.76716,0.988033,0.0391374,-0.00113988,-0.347416,0.298321,0.298321
92,1052.74,1,10.0219,52.8356,7.78377,109.414,0.181759,0.236052,0.747735,0.963016,-0.0469524,0.0941779,-0.368359,0.290767,0.290767
93,1054.62,1,9.86982,54.0433,7.52393,109.338,0.196676,0.230075,0.728802,0.987353,0.0199316,-0.091576,-0.417431,0.283405,0.283405
94,1043.24,1,9.66966,53.016,8.6294,113.947,0.197913,0.224249,0.710349,1.08889,-0.0226022,-0.0859924,-0.422734,0.276229,0.276229
95,1040.76,1,9.69815,51.9827,8.47459,112.168,0.192902,0.226197,0.692362,1.06132,0.0288243,0.0366484,-0.562983,0.269234,0.269234
96,1025.2,1,9.74604,50.8056,9.69769,118.285,0.188017,0.22047,0.674831,1.03444,0.0494337,0.081669,-0.515465,0.262417,0.262417
97,1024.21,1,9.68394,51.5348,9.23627,121.964,0.187098,0.214887,0.657744,1.0267,0.220592,0.0599492,-0.4724,0.255773,0.255773
98,1023.19,1,9.73023,50.4271,9.3495,135.212,0.19634,0.209446,0.661826,1.01905,0.289169,0.106824,-0.255784,0.249296,0.249296
99,1011.11,1,9.6258,51.6009,9.31211,139.055,0.192445,0.204143,0.645068,1.02195,0.366283,0.07997,-0.192158,0.242984,0.242984
100,1006.28,1,9.54117,50.5917,9.38374,139.125,0.189188,0.213335,0.628735,0.996077,0.436659,-0.107114,-0.333696,0.236832,0.236832
101,1004.79,1,9.50833,49.4529,9.28752,134.237,0.194582,0.228219,0.612815,0.970856,0.482603,-0.159879,-0.492934,0.230835,0.230835
102,996.504,1,9.56467,51.1106,8.86339,133.559,0.203333,0.22244,0.597298,0.946273,0.345476,-0.082472,-0.442505,0.22499,0.22499
103,986.682,1,9.41951,51.0428,8.60519,148.732,0.199,0.216808,0.582174,0.922313,0.382,-0.0938746,-0.425106,0.219293,0.219293
104,991.135,1,9.39929,49.6907,8.97064,161.896,0.20947,0.211318,0.567433,0.898959,0.300108,-0.152075,-0.369952,0.213741,0.213741
105,974.424,1,9.34461,48.7156,9.5575,162.859,0.217499,0.205968,0.553066,0.876197,0.397982,-0.079823,-0.513377,0.208329,0.208329
106,981.036,1,9.27181,47.6958,10.3291,173.103,0.228491,0.200752,0.539062,0.854011,0.308946,-0.000973567,-0.348952,0.209337,0.203054
107,978.186,1,9.43489,49.3933,9.78359,157.103,0.230614,0.197235,0.525412,0.832387,0.427398,-0.105657,-0.34113,0.209496,0.197912
108,973.965,1,9.40353,48.323,9.09231,154.091,0.235915,0.192241,0.512109,0.811311,0.387081,0.0177077,-0.252704,0.207794,0.192901
109,968.209,1,9.30195,47.8796,8.87964,161.053,0.229941,0.187374,0.499142,0.855265,0.374539,-0.0896222,-0.19685,0.20602,0.188016
110,974.877,1,9.26524,48.4208,8.46632,149.193,0.224119,0.182629,0.486503,0.887716,0.149351,-0.0856258,-0.269391,0.210037,0.183256
111,974.004,1,9.24064,49.042,8.50695,154.788,0.218444,0.184621,0.474185,0.935134,0.154612,-0.08812,-0.188993,0.215333,0.178616
112,963.668,1,9.32825,50.5164,8.45814,151.61,0.212913,0.179946,0.462178,0.911456,0.135695,-0.106225,-0.195177,0.226291,0.174093
113,963.232,1,9.19355,50.5077,8.09918,149.749,0.21325,0.183313,0.450475,0.888377,0.0895558,-0.0740868,-0.18683,0.240127,0.169685
114,962.601,1,9.27537,49.8346,8.36333,159.288,0.221414,0.178671,0.439069,0.865883,0.150979,-0.0856706,-0.219945,0.234047,0.165388
115,959.34,1,9.37898,50.8671,8.80968,159.23,0.216292,0.174147,0.427952,0.843959,0.143766,-0.073671,-0.210366,0.228121,0.161201
116,953.804,1,9.50911,51.7084,8.36443,135.168,0.217163,0.170684,0.417116,0.824101,0.110815,-0.134171,-0.198089,0.225906,0.157119
117,954.951,1,9.56893,52.5427,8.69319,148.782,0.216978,0.199311,0.406554,0.803235,0.0976547,0.0290485,-0.0326921,0.234776,0.153141
118,954.414,1,9.57907,53.4542,9.01042,149.143,0.218056,0.211217,0.410865,0.782896,0.190969,0.00530791,0.0920181,0.240615,0.149263
119,947.204,1,9.43159,53.2783,8.81233,152.521,0.218493,0.205869,0.400461,0.849057,0.190872,0.08561,0.0608387,0.242317,0.145484
120,943.276,1,9.38902,49.3832,9.36169,145.214,0.21296,0.203447,0.390322,0.827558,0.196874,-0.0191905,0.0734023,0.249179,0.1418
121,947.485,1,9.40262,48.2202,9.55128,148.679,0.212468,0.206996,0.416084,0.895477,0.258785,-0.0426292,0.120762,0.245357,0.138209
122,950.615,1,9.31948,48.865,8.82119,143.804,0.207089,0.213946,0.405549,0.926236,0.188399,0.128125,0.251315,0.249477,0.13471
123,941.51,1,9.44968,49.6901,8.42763,140.319,0.211678,0.227269,0.39528,0.902783,0.184544,0.0413776,0.14613,0.252045,0.131299
124,938.46,1,9.37271,49.0529,8.65767,140.558,0.210586,0.245182,0.385271,0.879924,0.225083,0.250072,0.280535,0.261674,0.127974
125,935.806,1,9.27843,48.0639,8.53646,142.267,0.205254,0.265739,0.375516,0.874966,0.335796,0.290257,0.336152,0.278381,0.124734
126,938.144,1,9.132,47.7545,8.1563,148.831,0.217567,0.259187,0.389774,0.917411,0.299204,0.278758,0.330674,0.284317,0.121576
127,930.946,1,9.25634,48.2076,8.57744,152.355,0.212058,0.252625,0.379905,0.894182,0.250394,0.295604,0.484794,0.277118,0.118497
128,927.574,1,9.23724,49.0071,8.47605,161.421,0.222576,0.249594,0.393463,0.871541,0.150908,0.204648,0.464497,0.273667,0.115497
129,916.596,1,9.34675,48.4929,8.64785,149.656,0.21694,0.243274,0.383501,0.849473,0.0982681,0.339255,0.540211,0.27267,0.112572
130,919.329,1,9.26663,47.2005,9.4248,157.968,0.211447,0.238604,0.389992,0.827964,0.279578,0.335443,0.448397,0.270728,0.109722
131,915.813,1,9.17457,46.5933,9.45702,172.734,0.206093,0.249928,0.380665,0.806999,0.315744,0.402654,0.495522,0.27044,0.106944
132,915.905,1,9.07605,46.9308,8.75559,174.678,0.200875,0.252469,0.381365,0.791429,0.326476,0.401552,0.475021,0.281802,0.104236
133,914.285,1,8.90002,47.4184,8.54187,180.663,0.200435,0.272078,0.371708,0.794723,0.346917,0.290043,0.464662,0.289791,0.101597
134,902.598,1,9.00308,47.0623,8.5731,170.872,0.197035,0.265189,0.362296,0.854726,0.365649,0.354887,0.328857,0.28777,0.0990241
135,901.572,1,8.971,47.8877,8.76813,177.621,0.20024,0.258474,0.360693,0.833084,0.371574,0.35004,0.367739,0.284522,0.0965168
136,907.881,1,9.03344,46.742,8.97064,166.196,0.199243,0.273551,0.383098,0.859862,0.378166,0.328115,0.476099,0.292618,0.0940729
137,903.311,1,9.09489,46.747,8.51228,158.899,0.194198,0.286866,0.383969,0.91728,0.463202,0.411587,0.422995,0.292286,0.0916909
138,902.583,1,9.18931,46.5979,8.64582,143.359,0.200641,0.279602,0.412488,0.91732,0.439135,0.43754,0.464744,0.293945,0.0893693
139,892.983,1,9.17073,45.7706,9.075,149.768,0.202349,0.297297,0.428481,0.894093,0.497821,0.420567,0.540906,0.292954,0.0871064
140,893.943,1,9.20175,46.2965,8.96035,147.292,0.215623,0.289769,0.456915,0.871454,0.496958,0.389953,0.494608,0.297114,0.0849008
141,892.754,1,9.26967,45.3923,9.33246,136.899,0.215965,0.301271,0.445345,0.908432,0.574198,0.426857,0.513772,0.30104,0.0827511
142,897.285,1,9.29991,45.1464,9.07114,132.867,0.225205,0.304723,0.434069,0.88543,0.555468,0.258115,0.466219,0.299638,0.0806558
143,893.853,1,9.35817,46.3332,9.12687,137.109,0.232435,0.306764,0.423078,0.863011,0.519274,0.316256,0.375779,0.301652,0.0786135
144,886.154,1,9.44561,45.3397,9.14857,120.281,0.233161,0.298996,0.412366,0.841159,0.491343,0.210016,0.376476,0.294439,0.0767896
145,876.003,1,9.49678,44.6471,10.1817,120.089,0.239935,0.291425,0.419648,0.81986,0.484785,0.218645,0.38621,0.307234,0.0748453
146,880.879,1,9.51848,44.4186,10.26,116.655,0.235718,0.285578,0.416303,0.881502,0.439646,0.158825,0.380871,0.30083,0.0729501
147,876.449,1,9.48061,44.6639,10.0306,118.895,0.242903,0.285605,0.444818,0.859182,0.511554,0.0737301,0.289201,0.305432,0.071103
148,874.525,1,9.5863,44.1427,10.2565,103.172,0.244468,0.278374,0.484733,0.873542,0.526193,0.151213,0.262153,0.303938,0.0693026
149,869.891,1,9.6413,43.6846,10.4749,97.6368,0.249218,0.271325,0.472459,0.85615,0.535242,0.0497436,0.159553,0.308712,0.0675479
150,874.245,1,9.66512,43.2163,10.8473,95.8315,0.250067,0.275969,0.483985,0.834472,0.507703,0.053859,0.223254,0.30952,0.0658375
151,867.979,1,9.79219,42.8003,10.9651,87.8901,0.248282,0.279726,0.47173,0.813342,0.515159,-0.0286288,0.0945166,0.305055,0.0643354
152,868.508,1,9.71995,42.6898,10.4968,80.971,0.252568,0.290894,0.475087,0.85823,0.536185,-0.108321,0.143156,0.306618,0.063308
153,861.665,1,9.80031,43.0585,10.8668,80.958,0.246502,0.283528,0.469022,0.890598,0.496416,-0.000408547,0.211306,0.308456,0.061705
154,861.851,1,9.83908,42.6153,10.8366,79.6098,0.248853,0.289961,0.485387,0.868047,0.534249,0.0508433,0.259806,0.307462,0.0611701
155,866.473,1,9.79727,43.4035,10.8094,78.3366,0.252574,0.293112,0.50188,0.847768,0.480854,-0.0122512,0.158382,0.310549,0.0609007
156,856.007,1,9.77105,42.3357,10.7622,78.962,0.252129,0.298718,0.498772,0.859465,0.516885,-0.0129781,0.131959,0.313013,0.0593586
157,852.467,1,9.75835,42.927,10.5447,79.7623,0.25521,0.291154,0.517629,0.853709,0.465957,-0.0579413,0.136692,0.310162,0.0578556
158,863.172,1,9.76975,42.6051,10.796,77.5787,0.249806,0.283782,0.56695,0.871222,0.430912,-0.0957478,0.228573,0.30274,0.0613313
159,857.136,1,9.75034,42.9214,10.9812,79.657,0.249965,0.276597,0.568173,0.859151,0.471014,-0.0779989,0.222117,0.301991,0.0597784
160,859.175,1,9.77322,42.6274,11.4279,84.2666,0.255393,0.269593,0.605491,0.837821,0.474153,-0.125301,0.245832,0.307456,0.0590762
161,863.406,1,9.75959,43.0147,10.7192,86.2726,0.253388,0.262767,0.610154,0.816607,0.465076,-0.0788292,0.27737,0.305837,0.0612116
162,865.647,1,9.7862,42.6391,10.9598,85.2593,0.247598,0.271677,0.594704,0.813163,0.50879,-0.0501441,0.310424,0.307527,0.0619802
163,868.947,1,9.78832,43.402,10.5275,84.6639,0.248821,0.264798,0.579646,0.835158,0.488116,0.0617236,0.383577,0.312157,0.0621254
164,870.792,1,9.78095,43.6553,10.6043,83.8148,0.253809,0.258093,0.581031,0.852496,0.47761,-0.0070064,0.333493,0.307727,0.0633377
165,864.268,1,9.79862,43.9627,10.2495,79.513,0.252777,0.273429,0.605747,0.84527,0.476075,-0.00880766,0.38254,0.30729,0.061734
166,863.797,1,9.84046,43.5029,10.7462,82.987,0.252697,0.267687,0.590409,0.823868,0.484111,-0.0320643,0.260493,0.303464,0.0623434
167,864.315,1,9.79273,43.5563,11.0212,80.6108,0.265851,0.260909,0.579264,0.803007,0.419491,-0.0619916,0.236065,0.304619,0.061475
168,859.774,1,9.85742,42.7878,10.8319,78.709,0.263386,0.264399,0.564596,0.782674,0.481686,-0.109603,0.246926,0.306616,0.0603881
169,858.758,1,9.83515,43.258,11.3897,79.8466,0.263967,0.257965,0.565261,0.780561,0.497328,-0.0601505,0.196069,0.307725,0.0597058
170,859.443,1,9.93143,43.4619,10.9519,82.2354,0.26025,0.278384,0.572553,0.760797,0.582829,-0.0730951,0.206371,0.305019,0.0609944
171,861.799,1,9.99317,42.5551,11.2659,76.0006,0.260455,0.30211,0.583867,0.761528,0.604381,-0.016295,0.284275,0.305539,0.0608198
172,857.726,1,9.86071,42.8224,11.1977,74.8229,0.259094,0.30678,0.569083,0.767283,0.552204,-0.0750467,0.29048,0.304434,0.0599624
173,855.135,1,9.83282,43.1328,10.8298,74.0244,0.252533,0.307577,0.554674,0.819705,0.562616,-0.0171992,0.299154,0.310693,0.0584441
174,858.395,1,9.84882,42.8001,11.1481,73.6188,0.251543,0.299789,0.577079,0.836542,0.461643,0.0155707,0.400097,0.310645,0.0582276
175,855.197,1,9.88925,41.8364,11.4455,75.1403,0.25097,0.30396,0.562467,0.838272,0.519184,-0.0358332,0.398183,0.309457,0.057997
176,848.886,1,9.89188,42.8271,11.322,73.7544,0.25143,0.302644,0.548225,0.865945,0.46438,-0.0611405,0.417826,0.306652,0.0565285
177,854.583,1,9.84763,42.6698,11.5974,74.1271,0.249925,0.306074,0.534344,0.892807,0.454332,-0.0241673,0.419321,0.303735,0.0583529
178,850.623,1,9.80209,41.8148,11.4305,76.1122,0.244534,0.310844,0.53921,0.883624,0.469172,0.0132523,0.394349,0.304998,0.0568754
179,857.94,1,9.72934,41.7354,11.5619,81.0894,0.254394,0.302974,0.537559,0.869022,0.449704,-0.0299127,0.413908,0.315026,0.057207
180,864.779,1,9.75725,41.8785,10.6618,79.8525,0.256338,0.295506,0.527543,0.850595,0.449859,-0.0244268,0.386259,0.309541,0.0605458
181,859.89,1,9.86347,43.5509,10.6892,77.9942,0.253186,0.288024,0.514185,0.84966,0.4293,-0.0304915,0.385106,0.306101,0.0605777
182,862.673,1,9.78203,42.4702,10.8972,80.5702,0.259808,0.291855,0.501166,0.844995,0.462662,-0.0682835,0.358681,0.307807,0.0608601
183,854.948,1,9.78348,42.411,11.0311,83.7988,0.255146,0.314729,0.498692,0.861045,0.475203,-0.0935143,0.346947,0.305034,0.0593191
184,854.756,1,9.78023,42.2649,11.0514,79.1618,0.257178,0.306759,0.495902,0.896733,0.484357,-0.0821405,0.448011,0.304905,0.0596395
185,854.916,1,9.78998,43.3716,11.1203,80.2271,0.258067,0.298992,0.519536,0.896023,0.438591,-0.128429,0.411452,0.304186,0.0589046
186,855.769,1,9.75224,43.1212,10.8714,85.4562,0.256939,0.297631,0.509529,0.899484,0.472291,-0.0471199,0.518066,0.307669,0.0590554
187,860.474,1,9.78543,43.4088,10.7371,86.4606,0.250433,0.290259,0.528223,0.905792,0.506926,-0.0686549,0.442386,0.305631,0.0607707
188,856.612,1,9.71962,43.0282,10.9617,86.0691,0.247117,0.294289,0.514848,0.930433,0.518346,-0.067839,0.439314,0.300947,0.0607289
189,857.731,1,9.73293,42.9505,11.1184,84.0512,0.253676,0.290307,0.516499,0.941861,0.536031,-0.0214346,0.453641,0.304523,0.0599718
190,855.133,1,9.7646,42.5228,11.2076,80.6545,0.247253,0.290972,0.510471,0.943238,0.492248,0.0424314,0.487893,0.309322,0.0584533
191,851.881,1,9.76935,42.211,11.2038,80.3547,0.249988,0.285269,0.497546,0.924699,0.533336,-0.0584376,0.424592,0.307876,0.0582501
192,847.224,1,9.73415,42.4403,11.0127,86.4231,0.253205,0.279702,0.484948,0.901286,0.52453,0.0415626,0.466703,0.31136,0.0570533
193,854.147,1,9.73132,42.7844,10.9722,86.7439,0.257252,0.287039,0.472669,0.913456,0.496258,-0.0371248,0.5028,0.311552,0.0589274
194,861.779,1,9.71415,42.6593,10.8226,80.9059,0.255385,0.299638,0.479637,0.92147,0.532956,-0.0233747,0.509098,0.306651,0.0618396
195,859.313,1,9.75779,42.4694,11.5932,78.2503,0.251796,0.292051,0.473331,0.934677,0.527893,-0.0604327,0.407726,0.304234,0.0613961
196,855.907,1,9.80833,42.4124,11.8545,75.2632,0.249816,0.294681,0.468196,0.949916,0.519335,-0.0186167,0.426078,0.303322,0.0600539
