f_pop,1,-0.022214,0.067369,0.060707,0.072129,-0.12773,0.10649,0.010794,0.030672,0.048556,nan,0.10389,-0.020962,-0.12759,-0.0069239,0.010049
Cl_pop,-0.022214,1,-0.19001,-0.29743,-0.25638,0.33973,-0.041285,-0.011527,-0.05311,-0.11052,nan,-0.3559,0.056268,0.13826,-0.034149,0.003866
V1_pop,0.067369,-0.19001,1,0.43548,0.32756,-0.40282,-0.067924,0.027847,0.079264,0.13691,nan,0.43569,-0.046207,-0.04713,0.14647,-0.088226
Q2_pop,0.060707,-0.29743,0.43548,1,0.45657,-0.78322,-0.22489,0.012019,0.091647,0.28467,nan,0.65879,-0.038651,-0.042436,0.16649,-0.0066424
V2_pop,0.072129,-0.25638,0.32756,0.45657,1,-0.52079,0.066905,0.035357,0.10511,0.17811,nan,0.5527,-0.14591,-0.15415,0.047854,-0.0017101
Q3_pop,-0.12773,0.33973,-0.40282,-0.78322,-0.52079,1,-0.2782,-0.053075,-0.12448,-0.37801,nan,-0.79917,0.21325,0.48113,-0.013863,-0.077599
V3_pop,0.10649,-0.041285,-0.067924,-0.22489,0.066905,-0.2782,1,0.040316,0.058537,0.14404,nan,0.16056,-0.31899,-0.69134,-0.23203,0.11629
omega_f,0.010794,-0.011527,0.027847,0.012019,0.035357,-0.053075,0.040316,1,0.011231,0.044881,nan,0.047206,-0.032203,-0.013495,-0.019343,-0.010506
omega_Cl,0.030672,-0.05311,0.079264,0.091647,0.10511,-0.12448,0.058537,0.011231,1,-0.013191,nan,0.1321,-0.021929,-0.07099,0.0017547,0.013057
omega_V1,0.048556,-0.11052,0.13691,0.28467,0.17811,-0.37801,0.14404,0.044881,-0.013191,1,nan,0.31058,-0.12345,-0.17681,-0.15549,0.11124
omega_Q2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_V2,0.10389,-0.3559,0.43569,0.65879,0.5527,-0.79917,0.16056,0.047206,0.1321,0.31058,nan,1,-0.16157,-0.38051,-0.021129,0.045507
omega_Q3,-0.020962,0.056268,-0.046207,-0.038651,-0.14591,0.21325,-0.31899,-0.032203,-0.021929,-0.12345,nan,-0.16157,1,0.139,0.14974,-0.0052872
omega_V3,-0.12759,0.13826,-0.04713,-0.042436,-0.15415,0.48113,-0.69134,-0.013495,-0.07099,-0.17681,nan,-0.38051,0.139,1,0.1775,-0.17624
a1,-0.0069239,-0.034149,0.14647,0.16649,0.047854,-0.013863,-0.23203,-0.019343,0.0017547,-0.15549,nan,-0.021129,0.14974,0.1775,1,-0.25808
a2,0.010049,0.003866,-0.088226,-0.0066424,-0.0017101,-0.077599,0.11629,-0.010506,0.013057,0.11124,nan,0.045507,-0.0052872,-0.17624,-0.25808,1
