Cl_pop,0.00626,1.4e-5,-8.8e-6,0.00204,-0.00283,-0.0267,-4.66e-5,nan,nan,nan,-8.83e-5,-2.27e-7,nan,-8.49e-5,nan,0.000121,6.39e-5,-7.74e-5
beta_Cl_logtWTKG,1.4e-5,3.27e-5,-1.88e-6,2.38e-5,2.11e-5,-3.71e-5,-3.22e-5,nan,nan,nan,-4.82e-5,-6.58e-8,nan,-4.39e-5,nan,-0.000134,-1.12e-5,9.84e-6
beta_Cl_tCLCRMLMIN,-8.8e-6,-1.88e-6,1.21e-5,8.42e-6,5.34e-6,2.91e-5,-6.2e-6,nan,nan,nan,-1.03e-5,-8.92e-9,nan,-1.01e-5,nan,-4.32e-5,-4.31e-6,6.85e-7
V1_pop,0.00204,2.38e-5,8.42e-6,0.00487,0.00388,0.00141,-7.76e-5,nan,nan,nan,-0.00012,-1.15e-7,nan,-0.00011,nan,-0.000369,-4.16e-5,2.18e-5
Q_pop,-0.00283,2.11e-5,5.34e-6,0.00388,0.00706,0.0192,3.35e-5,nan,nan,nan,6.39e-5,5.66e-8,nan,6.44e-5,nan,-2.42e-6,-9.04e-5,8.22e-5
V2_pop,-0.0267,-3.71e-5,2.91e-5,0.00141,0.0192,0.214,-0.00131,nan,nan,nan,-0.0019,8.14e-7,nan,-0.00176,nan,-0.00964,-0.000531,0.000555
omega_Cl,-4.66e-5,-3.22e-5,-6.2e-6,-7.76e-5,3.35e-5,-0.00131,0.000612,nan,nan,nan,0.000928,2.33e-7,nan,0.000863,nan,0.00347,5.06e-5,-4.64e-5
corr_V1_Cl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
corr_Q_Cl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
corr_V2_Cl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_V1,-8.83e-5,-4.82e-5,-1.03e-5,-0.00012,6.39e-5,-0.0019,0.000928,nan,nan,nan,0.00141,3.56e-7,nan,0.00131,nan,0.00526,7.73e-5,-7.02e-5
corr_V1_Q,-2.27e-7,-6.58e-8,-8.92e-9,-1.15e-7,5.66e-8,8.14e-7,2.33e-7,nan,nan,nan,3.56e-7,4.18e-10,nan,3.23e-7,nan,1.06e-6,4.84e-8,-3.99e-8
corr_V2_V1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_Q,-8.49e-5,-4.39e-5,-1.01e-5,-0.00011,6.44e-5,-0.00176,0.000863,nan,nan,nan,0.00131,3.23e-7,nan,0.00122,nan,0.0049,7.23e-5,-6.51e-5
corr_V2_Q,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_V2,0.000121,-0.000134,-4.32e-5,-0.000369,-2.42e-6,-0.00964,0.00347,nan,nan,nan,0.00526,1.06e-6,nan,0.0049,nan,0.0202,0.000262,-0.00024
a1,6.39e-5,-1.12e-5,-4.31e-6,-4.16e-5,-9.04e-5,-0.000531,5.06e-5,nan,nan,nan,7.73e-5,4.84e-8,nan,7.23e-5,nan,0.000262,0.000515,-2.4e-5
a2,-7.74e-5,9.84e-6,6.85e-7,2.18e-5,8.22e-5,0.000555,-4.64e-5,nan,nan,nan,-7.02e-5,-3.99e-8,nan,-6.51e-5,nan,-0.00024,-2.4e-5,6.07e-5
