Cl_pop,0.0497,-0.00214,-0.0474,-0.00416,0.0107,-6.51e-5,-0.000218,0.00499,-5.15e-5,0.00136,4.18e-5,-6.21e-5,-9.88e-5
beta_Cl_logtWTKG,-0.00214,0.112,0.00327,0.000701,-0.00151,5.83e-5,7.29e-5,-0.000693,4.71e-5,-9.81e-5,0.00018,-5.52e-5,1.63e-5
beta_Cl_tCLCRMLMIN,-0.0474,0.00327,0.0475,0.00423,-0.0105,8.19e-5,0.000215,-0.00504,5.54e-5,-0.00142,-2.08e-5,4.69e-5,0.000106
V1_pop,-0.00416,0.000701,0.00423,0.0134,-0.0197,0.00558,0.000305,-0.0086,5.97e-5,-0.00272,-0.000373,-6.95e-5,0.000264
Q_pop,0.0107,-0.00151,-0.0105,-0.0197,0.0747,-0.002,-0.000753,0.0217,-0.000144,0.00816,0.0008,9.02e-5,-0.000652
V2_pop,-6.51e-5,5.83e-5,8.19e-5,0.00558,-0.002,0.00495,9.47e-6,-0.000279,-1.08e-5,-0.000203,-0.000234,-4.02e-5,2.57e-5
omega_Cl,-0.000218,7.29e-5,0.000215,0.000305,-0.000753,9.47e-6,0.00123,-0.000355,5.59e-6,-0.000107,1.32e-5,3.08e-5,-4.51e-6
omega_V1,0.00499,-0.000693,-0.00504,-0.0086,0.0217,-0.000279,-0.000355,0.0138,-5.42e-5,0.0023,0.00327,6.12e-5,-0.000324
corr_V2_V1,-5.15e-5,4.71e-5,5.54e-5,5.97e-5,-0.000144,-1.08e-5,5.59e-6,-5.42e-5,1.14e-5,-3.25e-5,7.6e-5,2.2e-6,-1.41e-6
omega_Q,0.00136,-9.81e-5,-0.00142,-0.00272,0.00816,-0.000203,-0.000107,0.0023,-3.25e-5,0.0175,-0.000538,2.61e-5,-0.00013
omega_V2,4.18e-5,0.00018,-2.08e-5,-0.000373,0.0008,-0.000234,1.32e-5,0.00327,7.6e-5,-0.000538,0.00305,3.72e-5,-4.85e-5
a1,-6.21e-5,-5.52e-5,4.69e-5,-6.95e-5,9.02e-5,-4.02e-5,3.08e-5,6.12e-5,2.2e-6,2.61e-5,3.72e-5,0.00052,-2.32e-5
a2,-9.88e-5,1.63e-5,0.000106,0.000264,-0.000652,2.57e-5,-4.51e-6,-0.000324,-1.41e-6,-0.00013,-4.85e-5,-2.32e-5,5.89e-5
