iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b,c
120,332.422,1,5.10726,0.555124,18.1256,8.44145,20.9573,0.21311,0.349902,0.741332,0.28678,0.0290438,0.9025
121,328.783,1,5.08946,0.59581,17.8709,8.50259,21.4731,0.221507,0.354588,0.733247,0.339937,0.0283946,0.9025
122,331.817,1,5.13567,0.561173,18.3005,8.58381,20.8859,0.217559,0.37537,0.71468,0.35618,0.0289307,0.9025
123,336.921,1,5.14131,0.514781,18.0311,8.79431,20.6657,0.216841,0.404382,0.740015,0.44012,0.0293759,0.9025
124,331.286,1,5.15163,0.550289,18.6819,8.63512,20.5526,0.214815,0.394143,0.773179,0.257308,0.0286455,0.9025
125,334.349,1,5.14592,0.58691,18.9677,8.72841,20.7293,0.221973,0.384163,0.816436,0.256311,0.0286503,0.9025
126,329.434,1,5.14534,0.592801,18.7166,8.95323,20.5268,0.216353,0.374436,0.795763,0.210954,0.0285457,0.9025
127,339.432,1,5.16501,0.594917,18.5473,8.85569,20.7112,0.214359,0.364955,0.795648,0.260259,0.0297419,0.9025
128,334.422,1,5.14454,0.59625,18.0991,9.09228,21.14,0.224411,0.355714,0.775502,0.321192,0.0295552,0.9025
129,328.69,1,5.14173,0.542362,17.5593,9.10627,20.9831,0.218728,0.346707,0.755865,0.336075,0.0285307,0.9025
130,331.356,1,5.15116,0.551623,18.0152,9.24615,21.1307,0.222378,0.368969,0.78899,0.311311,0.0283153,0.9025
131,335.301,1,5.11948,0.582039,18.324,9.0939,21.3123,0.231573,0.359627,0.774497,0.320727,0.0290309,0.9025
132,328.068,1,5.13839,0.57049,17.8164,9.51685,21.5287,0.227565,0.355505,0.754886,0.393891,0.0282675,0.9025
133,333.985,1,5.13126,0.586997,17.7592,9.2523,21.6801,0.221803,0.348731,0.771362,0.324465,0.0291231,0.9025
134,334.772,1,5.15162,0.544015,17.5954,9.49047,21.6123,0.219192,0.358177,0.78381,0.35322,0.0291127,0.9025
135,324.209,1,5.14608,0.51994,17.5108,9.43456,21.5617,0.213642,0.349108,0.763964,0.2756,0.0279689,0.9025
136,325.007,1,5.15414,0.537225,17.8173,9.00278,21.9954,0.213817,0.381677,0.74462,0.276808,0.0277324,0.9025
137,324.935,1,5.14645,0.547118,18.0043,8.52997,21.4584,0.215201,0.392614,0.725765,0.294445,0.0277814,0.9025
138,331.384,1,5.15337,0.516098,17.9759,8.90397,21.8943,0.215857,0.402511,0.792913,0.278501,0.0280116,0.9025
139,322.79,1,5.13432,0.559892,17.8223,8.9289,21.9798,0.212627,0.395576,0.772836,0.181657,0.0269961,0.9025
140,329.108,1,5.1401,0.563464,17.6976,9.00758,21.9627,0.2139,0.38556,0.790007,0.260524,0.0281867,0.9025
141,329.391,1,5.09624,0.55605,17.6455,8.39326,22.0184,0.222919,0.375797,0.770004,0.287052,0.0283016,0.9025
142,329.892,1,5.10518,0.599092,17.8198,8.36239,21.6744,0.228323,0.373212,0.750507,0.333108,0.028494,0.9025
143,329.922,1,5.12987,0.578809,18.1954,8.23581,21.0436,0.222542,0.363762,0.731504,0.278455,0.0289518,0.9025
144,330.375,1,5.1229,0.577559,18.4042,8.39706,20.9943,0.216907,0.354551,0.712982,0.17803,0.0291711,0.9025
145,337.726,1,5.13458,0.557585,18.3534,8.35105,20.5925,0.214435,0.345574,0.694929,0.28887,0.0305519,0.9025
146,339.185,1,5.16307,0.547068,18.5901,8.90339,20.7051,0.21291,0.336823,0.723276,0.289611,0.0304509,0.9025
147,342.832,1,5.18689,0.537021,18.7364,8.90311,20.9639,0.221383,0.365204,0.704962,0.33267,0.0308764,0.9025
148,333.718,1,5.16552,0.556383,18.4241,9.36043,20.7264,0.2195,0.355957,0.732334,0.328908,0.0296767,0.9025
149,331.88,1,5.13001,0.554771,18.0711,8.63603,20.435,0.21683,0.346944,0.717255,0.39067,0.0295542,0.9025
150,341.705,1,5.09321,0.490552,17.9829,7.66688,19.9879,0.215561,0.377815,0.699093,0.358563,0.0305154,0.9025
151,340.366,1,5.07389,0.503563,17.8296,7.81948,19.8552,0.210103,0.381514,0.699758,0.416925,0.0303744,0.9025
152,339.842,1,5.08745,0.524424,17.9894,8.63885,19.4713,0.217285,0.373564,0.72665,0.42611,0.0301084,0.9025
153,346.187,1,5.1169,0.488549,17.5918,9.20632,19.806,0.221284,0.376637,0.738116,0.443122,0.0310284,0.9025
154,345.791,1,5.11152,0.486565,17.3526,9.452,20.7189,0.216465,0.3671,0.79361,0.394185,0.0309043,0.9025
155,341.677,1,5.13382,0.499568,18.0845,8.95911,20.7189,0.212759,0.360161,0.773515,0.433557,0.0304915,0.9025
156,336.412,1,5.14946,0.469506,18.2224,8.94959,19.9257,0.212314,0.367169,0.753929,0.445108,0.0297428,0.9025
157,336.895,1,5.11121,0.460003,17.8504,8.59623,19.9257,0.21576,0.397018,0.758286,0.536612,0.029572,0.9025
158,331.404,1,5.10647,0.476228,17.761,8.51127,20.0114,0.210297,0.386966,0.752196,0.493986,0.0290604,0.9025
159,334.174,1,5.06513,0.512596,17.6409,8.87702,19.8472,0.209129,0.377168,0.733149,0.43734,0.0295752,0.9025
160,327.99,1,5.12743,0.533702,18.1684,8.15653,19.855,0.203834,0.367617,0.714586,0.472139,0.0292528,0.9025
161,324.366,1,5.08722,0.587753,18.1584,8.33682,19.9015,0.215849,0.358309,0.696492,0.404541,0.0282502,0.9025
162,331.282,1,5.1166,0.561277,18.7499,7.60694,20.0259,0.211469,0.388616,0.728555,0.388819,0.0287455,0.9025
163,327.182,1,5.0988,0.566585,18.5457,7.37821,20.1823,0.21535,0.416614,0.710108,0.416211,0.0281003,0.9025
164,322.459,1,5.13294,0.571134,19.2849,7.46248,19.7645,0.210316,0.406065,0.692127,0.378644,0.0275361,0.9025
165,325.274,1,5.10754,0.578824,18.9316,7.60927,19.7568,0.21803,0.405911,0.708682,0.43056,0.0277299,0.9025
166,324.184,1,5.10516,0.594617,19.5186,7.24187,19.7491,0.21251,0.395633,0.690738,0.351589,0.0282103,0.9025
167,322.769,1,5.08377,0.589372,19.3525,7.15546,19.7953,0.212506,0.385615,0.713968,0.333983,0.0275474,0.9025
168,326.509,1,5.10209,0.540314,19.0772,7.19484,19.9345,0.207126,0.375851,0.733594,0.301548,0.0283502,0.9025
169,319.49,1,5.09544,0.591079,19.5714,7.072,20.3706,0.210629,0.366334,0.715019,0.216573,0.0273359,0.9025
170,325.436,1,5.08233,0.607824,19.2296,7.2319,20.1955,0.213202,0.386714,0.766654,0.304988,0.0274594,0.9025
171,329.621,1,5.08495,0.606979,18.9087,7.5264,20.1088,0.214048,0.376922,0.817298,0.304814,0.0281059,0.9025
172,324.404,1,5.08236,0.56649,18.5074,7.44974,20.4779,0.208628,0.375279,0.801894,0.298237,0.0273554,0.9025
173,326.694,1,5.07384,0.569087,18.4186,7.55349,20.6019,0.208648,0.365777,0.78159,0.292932,0.0279372,0.9025
174,321.958,1,5.07934,0.523564,17.9454,8.16181,20.3122,0.203365,0.390234,0.793832,0.357355,0.0270615,0.9025
175,322.677,1,5.0682,0.534919,17.8821,7.8405,20.3598,0.210866,0.394549,0.773732,0.375463,0.0271697,0.9025
176,331.236,1,5.05487,0.51119,17.6604,8.25061,20.6382,0.212781,0.436043,0.815508,0.383109,0.0276281,0.9025
177,326.796,1,5.10094,0.506347,17.755,8.21533,20.743,0.207394,0.425002,0.794859,0.373455,0.0277255,0.9025
178,326.229,1,5.13412,0.499038,17.6876,8.53563,21.2697,0.202142,0.416492,0.785474,0.377299,0.0276544,0.9025
179,336.255,1,5.15993,0.508606,17.8341,8.43814,21.5605,0.200805,0.409106,0.765585,0.427755,0.0294276,0.9025
180,334.719,1,5.11812,0.518508,17.5853,8.18778,21.5941,0.203503,0.435941,0.780597,0.367803,0.0285894,0.9025
181,325.702,1,5.1243,0.541033,17.7649,8.2744,21.358,0.208961,0.425711,0.767238,0.390202,0.0273987,0.9025
182,325.015,1,5.11461,0.513133,17.702,8.19833,20.8908,0.214215,0.468295,0.747811,0.484205,0.0271251,0.9025
183,325.436,1,5.10083,0.542524,18.0557,7.68846,20.7112,0.218481,0.456438,0.728876,0.462236,0.0273593,0.9025
184,327.909,1,5.09712,0.523386,17.7847,7.69014,20.7517,0.215065,0.48494,0.736647,0.49602,0.0274152,0.9025
185,324.503,1,5.13304,0.511299,17.9002,7.86834,20.6625,0.215551,0.508123,0.778514,0.529633,0.0266796,0.9025
186,327.124,1,5.12615,0.546947,18.2816,7.40543,20.9854,0.21137,0.495257,0.794662,0.468282,0.0272748,0.9025
187,324.068,1,5.14082,0.533872,17.9311,8.24262,21.1411,0.20761,0.482717,0.774541,0.482899,0.0270699,0.9025
188,324.255,1,5.13289,0.5553,17.9029,8.6634,21.2402,0.217848,0.470494,0.754929,0.489349,0.0274801,0.9025
189,327.176,1,5.13276,0.529853,17.919,8.32788,21.5057,0.219104,0.458581,0.750645,0.49122,0.0278464,0.9025
190,327.482,1,5.15386,0.488954,17.3085,8.74821,21.9593,0.213556,0.44697,0.760185,0.493831,0.0279135,0.9025
191,328.996,1,5.15766,0.460747,17.3935,7.97063,21.9593,0.211968,0.453302,0.755098,0.511109,0.0279449,0.9025
192,323.345,1,5.13982,0.520944,17.8815,7.84541,22.1137,0.215981,0.441824,0.735979,0.51152,0.0276154,0.9025
193,327.684,1,5.13678,0.534771,17.8563,7.95028,21.7078,0.216963,0.430637,0.728398,0.503499,0.0282449,0.9025
194,338.276,1,5.09758,0.53624,17.518,8.34334,21.3516,0.215191,0.419733,0.78416,0.49154,0.0296655,0.9025
195,340.814,1,5.10965,0.482583,17.5297,8.26794,21.1765,0.209742,0.414043,0.848977,0.489939,0.0295713,0.9025
196,344.743,1,5.09618,0.445684,17.7223,7.65724,21.7059,0.21353,0.499455,0.840392,0.499543,0.0292523,0.9025
197,326.67,1,5.1274,0.481526,17.4937,8.0977,21.265,0.210586,0.486808,0.837401,0.553155,0.0277897,0.9025
198,329.415,1,5.14302,0.515621,17.424,8.4712,21.7883,0.206418,0.474482,0.840195,0.555725,0.027903,0.9025
199,331.658,1,5.14147,0.523129,17.8011,8.3683,21.8479,0.206363,0.462468,0.81892,0.471421,0.0284256,0.9025
200,326.576,1,5.13359,0.600721,18.5431,8.30409,21.131,0.207011,0.450758,0.799091,0.445734,0.027978,0.9025
201,323.665,1,5.11621,0.548208,18.528,7.70126,21.6345,0.212169,0.439344,0.805887,0.475334,0.0274931,0.9025
202,323.928,1,5.14563,0.498597,18.2033,7.92146,21.626,0.206797,0.42822,0.785482,0.540553,0.0279544,0.9025
203,318.426,1,5.126,0.491053,18.3873,7.39889,22.2934,0.202298,0.417377,0.765593,0.615337,0.0276555,0.9025
204,327.393,1,5.11261,0.483683,18.4618,7.27956,21.8928,0.209545,0.406809,0.825999,0.59328,0.0280752,0.9025
205,325.199,1,5.11635,0.482655,18.5372,7.18253,21.9356,0.210967,0.405428,0.805084,0.592481,0.0278769,0.9025
206,323.088,1,5.11347,0.502915,18.5766,6.99037,22.5868,0.208459,0.395163,0.840436,0.525811,0.0274288,0.9025
207,323.741,1,5.0998,0.492068,18.6318,6.62274,22.7103,0.211775,0.385157,0.819156,0.544842,0.0276866,0.9025
208,322.566,1,5.08104,0.505859,18.5905,6.63666,22.9321,0.214615,0.41199,0.798414,0.491201,0.0271385,0.9025
209,324.397,1,5.07487,0.517885,18.3175,6.69562,23.3621,0.218976,0.418264,0.801734,0.464997,0.0270444,0.9025
210,329.622,1,5.09915,0.579019,18.535,7.13467,23.7271,0.214612,0.407674,0.781434,0.424502,0.0284618,0.9025
211,322.573,1,5.07079,0.575082,18.6912,6.91984,23.6715,0.217633,0.397351,0.761647,0.354729,0.0276073,0.9025
212,318.647,1,5.09355,0.578831,19.0408,7.03411,23.3571,0.213892,0.38729,0.742362,0.412021,0.0276006,0.9025
213,315.075,1,5.10695,0.549929,18.8155,6.89054,23.3206,0.218983,0.377483,0.783547,0.513691,0.0267332,0.9025
214,316.912,1,5.10005,0.565738,19.4703,7.11036,22.2912,0.21587,0.367925,0.844871,0.456957,0.0269295,0.9025
215,320.547,1,5.09955,0.575853,19.2322,6.84752,22.9791,0.210404,0.358609,0.823479,0.416387,0.0274691,0.9025
216,316.786,1,5.10102,0.592983,20.057,6.64291,22.5124,0.206693,0.349529,0.802628,0.337237,0.027356,0.9025
217,318.012,1,5.05487,0.566815,19.4855,6.27955,21.9144,0.205267,0.340679,0.782305,0.437041,0.0280478,0.9025
218,310.969,1,5.08082,0.589398,19.6949,6.15156,22.0685,0.206154,0.332053,0.762496,0.431398,0.0271892,0.9025
219,319.902,1,5.05225,0.599738,19.5072,6.18696,21.965,0.223056,0.323645,0.74319,0.461551,0.0281161,0.9025
220,320.968,1,5.0529,0.549301,19.9873,5.94462,22.394,0.217408,0.31545,0.774991,0.455994,0.0278762,0.9025
221,316.56,1,5.07216,0.556644,20.1166,6.03873,23.6012,0.218828,0.307463,0.772481,0.532739,0.027748,0.9025
222,314.362,1,5.10739,0.573123,20.2943,6.19138,24.6337,0.21403,0.299678,0.752921,0.523248,0.0278227,0.9025
