Cl_pop,1,0.107,-0.0499,0.113,0.0666,-0.00312,0.0115,-0.00765,0.0573,0.106,0.0522,-0.113,0.0158,-0.0964,0.108,-8.93e-12,1.95e-13
beta_Cl_logtCLCRMLMIN,0.107,1,0.0215,-0.0179,-0.0199,-0.0429,0.0399,0.017,-0.0251,-0.0294,-0.0142,0.013,0.00246,0.0106,-0.0147,-7.01e-12,1.24e-13
V1_pop,-0.0499,0.0215,1,-0.385,-0.323,0.044,-0.0703,0.0908,-0.328,-0.502,-0.447,0.12,-0.055,0.138,-0.159,4.51e-11,-6.54e-12
Q_pop,0.113,-0.0179,-0.385,1,0.349,-0.104,0.124,-0.0605,0.314,0.472,0.352,-0.306,0.0598,-0.322,0.339,-6.07e-11,4.95e-12
V2_pop,0.0666,-0.0199,-0.323,0.349,1,-0.132,0.181,-0.113,0.665,0.936,0.547,0.0531,0.0935,-0.496,0.571,-9.15e-11,9.22e-11
bias_pop,-0.00312,-0.0429,0.044,-0.104,-0.132,1,-0.974,-0.0835,-0.0897,-0.15,-0.0883,0.0593,0.00786,0.167,-0.158,3.37e-10,-6.36e-11
beta_bias_lcat_2,0.0115,0.0399,-0.0703,0.124,0.181,-0.974,1,0.0736,0.125,0.201,0.119,-0.0641,0.0143,-0.193,0.188,-3.19e-10,6.22e-11
omega_Cl,-0.00765,0.017,0.0908,-0.0605,-0.113,-0.0835,0.0736,1,-0.0866,-0.125,-0.0897,0.0148,-0.0191,0.024,-0.0409,-1.67e-11,4.93e-14
omega_V1,0.0573,-0.0251,-0.328,0.314,0.665,-0.0897,0.125,-0.0866,1,0.695,0.365,0.24,0.0651,-0.345,0.373,-6.84e-11,3.74e-13
corr_V2_V1,0.106,-0.0294,-0.502,0.472,0.936,-0.15,0.201,-0.125,0.695,1,0.574,-0.152,0.0983,-0.549,0.63,-1.06e-10,9.21e-12
omega_Q,0.0522,-0.0142,-0.447,0.352,0.547,-0.0883,0.119,-0.0897,0.365,0.574,1,-0.137,0.0677,-0.161,0.166,-5.91e-11,6.99e-13
omega_V2,-0.113,0.013,0.12,-0.306,0.0531,0.0593,-0.0641,0.0148,0.24,-0.152,-0.137,1,-0.00817,0.129,-0.145,4.27e-11,-4.54e-13
bias_sd,0.0158,0.00246,-0.055,0.0598,0.0935,0.00786,0.0143,-0.0191,0.0651,0.0983,0.0677,-0.00817,1,-0.0773,0.0658,1.92e-10,-5.86e-12
a1,-0.0964,0.0106,0.138,-0.322,-0.496,0.167,-0.193,0.024,-0.345,-0.549,-0.161,0.129,-0.0773,1,-0.639,7.35e-11,-7.39e-14
a2,0.108,-0.0147,-0.159,0.339,0.571,-0.158,0.188,-0.0409,0.373,0.63,0.166,-0.145,0.0658,-0.639,1,-8.51e-11,7.21e-14
plcat_1,-8.93e-12,-7.01e-12,4.51e-11,-6.07e-11,-9.15e-11,3.37e-10,-3.19e-10,-1.67e-11,-6.84e-11,-1.06e-10,-5.91e-11,4.27e-11,1.92e-10,7.35e-11,-8.51e-11,1,-0.00474
plcat_2,1.95e-13,1.24e-13,-6.54e-12,4.95e-12,9.22e-11,-6.36e-11,6.22e-11,4.93e-14,3.74e-13,9.21e-12,6.99e-13,-4.54e-13,-5.86e-12,-7.39e-14,7.21e-14,-0.00474,0.00474
